GeomAvgTotalReturn,Overheat,Recovery,Reflation,Stagflation
Value,6.930475036798467,8.715331391457436,11.837509961586568,10.475740461885819
Carry,7.485210524166397,9.878670015172265,14.26909455299703,10.078791334030758
Low Volatility,6.674403678030094,6.044848127908287,7.661517005143037,6.554950163718387
Momentum,7.026264486703204,9.948973627408076,8.682516062199653,12.434871423532922
Size,7.439084879557867,7.903661578277998,10.784271622266584,8.60274142631139
Quality,5.915584849540645,7.775149278286353,11.489468152322168,10.53666171461407
Macro,5.677033378276342,7.003942473724245,13.953411686093919,9.578254431269585
Forward,6.693629416391089,5.022052798311494,10.343443298061983,6.129982487453267
Term,7.748211078811451,6.010471204278134,15.885114269305323,7.910911864562542
Combo,6.909068675951469,7.675570312605551,11.750181141206495,9.19654896906219
Equal,6.503751623371579,8.439400864044488,10.762607208063347,8.401234162183213
