SharpeGeometric,Overheat,Recovery,Reflation,Stagflation
Value,0.5232414441652931,0.5280946501263966,0.7112810871842123,1.1747927128017088
Carry,0.36319650425112693,1.0361102988632545,0.7747693061808194,0.9020950417709594
Low Volatility,0.4802157052949373,0.35103809185098306,0.1426610098669177,0.6147196766146099
Momentum,0.3855597214926613,0.8314408269881545,0.1734136963627947,1.0135626736065184
Size,0.6990395902741265,0.6141891534379329,0.638176753818635,0.8196181127009805
Quality,0.3855841478273767,0.6449447714309372,0.2327852023694259,0.9577322099884337
Macro,0.3719128799461338,0.24299912401265314,0.33158204151087994,0.8104625701489487
Forward,0.33336973902325245,0.18624348949748237,0.14694054788610675,0.5529722183190223
Term,0.41388546460295517,0.33447446685155924,0.39421114367085025,0.6857164352818503
Combo,0.5514518755234303,0.6619439124068393,0.4718901569441351,0.9249015510409749
Equal,0.5563412551371099,0.8142990260360459,0.41397718536841743,0.8847661861982836
